,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
144.9,205.52,207.54,205.57,207.42,208.03,208.76,219.58,214.88,211.81,210.56,204,204.75,209.3,213.21,208.71,208.83,201.64,
145.9,205.55,207.49,205.44,207.3,207.8,208.82,219.46,214.67,211.92,210.68,203.92,204.71,208.78,212.81,208.47,208.77,201.54,
146.9,205.6,207.45,205.33,207.19,207.6,208.84,219.33,214.49,211.95,210.73,203.85,204.68,208.32,212.43,208.24,208.69,201.45,
147.9,205.63,207.41,205.23,207.09,207.45,208.82,219.19,214.35,211.91,210.7,203.8,204.65,207.97,212.08,208.02,208.57,201.37,
148.8,205.63,207.37,205.13,207.02,207.33,208.73,219.03,214.21,211.79,210.58,203.76,204.6,207.75,211.76,207.81,208.42,201.31,
149.8,205.59,207.33,205.04,206.97,207.22,208.61,218.85,214.06,211.61,210.38,203.72,204.56,207.62,211.47,207.61,208.25,201.25,
150.8,205.55,207.27,204.98,206.93,207.08,208.47,218.65,213.9,211.37,210.1,203.66,204.51,207.53,211.19,207.42,208.05,201.22,
151.8,205.52,207.22,204.92,206.88,206.91,208.32,218.46,213.73,211.06,209.77,203.59,204.46,207.41,210.92,207.23,207.85,201.19,
152.8,205.49,207.17,204.85,206.81,206.73,208.18,218.28,213.54,210.69,209.37,203.52,204.41,207.26,210.65,207.04,207.66,201.18,
153.8,205.46,207.13,204.79,206.7,206.59,208.04,218.11,213.33,210.28,208.9,203.46,204.36,207.14,210.4,206.87,207.47,201.17,
154.8,205.41,207.1,204.72,206.57,206.5,207.89,217.96,213.09,209.84,208.36,203.43,204.32,207.09,210.13,206.73,207.26,201.17,
155.8,205.34,207.07,204.67,206.43,206.45,207.74,217.81,212.85,209.37,207.76,203.4,204.26,207.1,209.85,206.61,207.04,201.17,
156.8,205.25,207.05,204.62,206.3,206.41,207.6,217.68,212.6,208.87,207.13,203.37,204.18,207.11,209.53,206.52,206.84,201.18,
157.8,205.16,207.02,204.56,206.17,206.36,207.49,217.55,212.31,208.35,206.5,203.34,204.07,207.06,209.19,206.45,206.68,201.2,
158.8,205.07,207,204.5,206.03,206.29,207.42,217.44,211.98,207.84,205.89,203.29,203.96,206.93,208.82,206.41,206.55,201.22,
159.8,204.99,206.98,204.44,205.9,206.23,207.38,217.33,211.64,207.34,205.33,203.24,203.85,206.75,208.44,206.39,206.44,201.24,
160.8,204.91,206.95,204.36,205.75,206.21,207.37,217.25,211.28,206.86,204.79,203.2,203.76,206.54,208.03,206.38,206.34,201.26,
161.7,204.81,206.92,204.27,205.61,206.24,207.37,217.18,210.91,206.43,204.29,203.15,203.68,206.31,207.62,206.39,206.25,201.29,
162.7,204.71,206.9,204.18,205.47,206.29,207.36,217.12,210.49,206.04,203.84,203.12,203.61,206.06,207.2,206.41,206.15,201.33,
163.7,204.62,206.86,204.1,205.33,206.34,207.34,217.07,210.03,205.7,203.46,203.1,203.53,205.76,206.79,206.43,206.04,201.37,
164.7,204.55,206.82,204.02,205.21,206.34,207.33,217.02,209.56,205.4,203.16,203.07,203.45,205.39,206.39,206.45,205.93,201.41,
165.7,204.49,206.76,203.92,205.12,206.33,207.31,216.98,209.09,205.15,202.93,203.05,203.36,204.98,206.01,206.46,205.83,201.46,
166.7,204.44,206.71,203.8,205.04,206.31,207.29,216.92,208.61,204.92,202.75,203.03,203.27,204.54,205.66,206.46,205.73,201.5,
167.7,204.38,206.64,203.69,204.97,206.29,207.27,216.85,208.1,204.73,202.6,203.02,203.21,204.13,205.36,206.46,205.62,201.55,
168.7,204.29,206.58,203.58,204.88,206.26,207.23,216.77,207.55,204.58,202.48,203.01,203.18,203.75,205.09,206.46,205.47,201.6,
169.7,204.2,206.52,203.48,204.79,206.23,207.17,216.68,206.97,204.46,202.37,203.01,203.15,203.38,204.86,206.44,205.28,201.64,
170.7,204.12,206.45,203.35,204.68,206.15,207.11,216.6,206.38,204.37,202.27,203.01,203.11,203,204.68,206.41,205.08,201.67,
171.7,204.04,206.38,203.21,204.56,206.03,207.04,216.51,205.79,204.28,202.21,203.01,203.06,202.63,204.52,206.38,204.86,201.69,
172.7,203.99,206.31,203.07,204.44,205.88,206.96,216.43,205.25,204.21,202.17,203.03,202.99,202.28,204.4,206.34,204.63,201.68,
